Full Name,Department
Marcus Hendley,Retail Banking
Priya Nair,Global Banking
Thomas Wexford,Commercial Banking
Amara Osei,Global Banking
Catherine Blum,Retail Banking
Rodrigo Fuentes,Commercial Banking
Lena Kowalski,Global Banking
James Thibodeau,Retail Banking
Fatima Al-Rashid,Commercial Banking
Owen Stafford,Global Banking
Mei-Lin Chow,Retail Banking
Derek Vance,Commercial Banking
Isabelle Fontaine,Retail Banking
Kwame Asante,Global Banking
Nora Brennan,Commercial Banking
Sanjay Mehrotra,Retail Banking
Claire Dunmore,Global Banking
Hassan Idris,Retail Banking
Valeria Sorokina,Commercial Banking
Patrick Callahan,Global Banking
Yuki Tanaka,Retail Banking
Dominique Laval,Commercial Banking
Tobias Schreiber,Global Banking
Adaeze Okafor,Retail Banking
Samuel Prentice,Commercial Banking
Ingrid Halvorsen,Global Banking
Rafael Monteiro,Retail Banking
Zara Whitfield,Commercial Banking
Elliot Cassidy,Global Banking
Miriam Esteves,Retail Banking
Victor Adewusi,Global Banking
